run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag
1,1,0,warm,iterfuse_pull3,0,894619.6,891175.4,10.4,100,,
1,1,0,warm,iterfuse_push3,0,898369.2,895222.1,6.7,100,,
1,1,0,warm,iterfuse_mat3,0,1157263.3,1154933.3,5605.0,100,,
1,1,0,cold,iterfuse_pull3,0,943840.4,935494.6,10.4,100,,
1,1,0,cold,iterfuse_push3,0,938758.7,930609.6,9.6,100,,
1,1,0,cold,iterfuse_mat3,0,1233264.2,1225945.8,4285.0,100,,
1,2,0,warm,iterfuse_mat3,0,1194141.2,1191646.7,5065.8,100,,
1,2,0,warm,iterfuse_pull3,0,891796.2,888751.7,5.4,100,,
1,2,0,warm,iterfuse_push3,0,904848.7,901759.2,11.2,100,,
1,2,0,cold,iterfuse_mat3,0,1216417.1,1209092.5,4699.2,100,,
1,2,0,cold,iterfuse_pull3,0,936482.9,928074.6,7.5,100,,
1,2,0,cold,iterfuse_push3,0,944039.2,935882.9,19.2,100,,
1,3,0,warm,iterfuse_mat3,0,1190135.8,1187731.2,4337.9,100,,
1,3,0,warm,iterfuse_pull3,0,887986.7,885102.5,5.8,100,,
1,3,0,warm,iterfuse_push3,0,887662.1,884020.8,10.4,100,,
1,3,0,cold,iterfuse_mat3,0,1200151.2,1192955.8,5417.5,100,,
1,3,0,cold,iterfuse_pull3,0,929520.8,921377.9,6.2,100,,
1,3,0,cold,iterfuse_push3,0,948908.8,940712.9,27.1,100,,
1,4,0,warm,iterfuse_mat3,0,1163365.0,1161002.1,5288.3,100,,
1,4,0,warm,iterfuse_pull3,0,874025.0,871771.2,5.0,100,,
1,4,0,warm,iterfuse_push3,0,872649.2,870210.8,8.3,100,,
1,4,0,cold,iterfuse_mat3,0,1199478.3,1192056.2,4523.7,100,,
1,4,0,cold,iterfuse_pull3,0,941734.2,933963.3,9.2,100,,
1,4,0,cold,iterfuse_push3,0,937367.1,928920.8,7.5,100,,
1,5,0,warm,iterfuse_pull3,0,892540.8,889896.2,4.2,100,,
1,5,0,warm,iterfuse_push3,0,901826.2,898733.3,25.8,100,,
1,5,0,warm,iterfuse_mat3,0,1182115.8,1179668.3,4944.6,100,,
1,5,0,cold,iterfuse_pull3,0,943027.1,935831.2,3.3,100,,
1,5,0,cold,iterfuse_push3,0,945341.2,937423.3,8.3,100,,
1,5,0,cold,iterfuse_mat3,0,1205897.9,1198532.1,4900.8,100,,
1,6,0,warm,iterfuse_push3,0,897187.5,893881.2,4.6,100,,
1,6,0,warm,iterfuse_mat3,0,1129011.7,1126604.2,5238.3,100,,
1,6,0,warm,iterfuse_pull3,0,899393.3,895995.4,15.0,100,,
1,6,0,cold,iterfuse_push3,0,956560.4,949101.7,10.0,100,,
1,6,0,cold,iterfuse_mat3,0,1220280.0,1212840.4,4682.5,100,,
1,6,0,cold,iterfuse_pull3,0,934976.7,927087.1,6.7,100,,
