run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag
1,1,0,warm,ml_tree_h64,0,124091.2,121798.8,5.0,100,,
1,1,0,warm,ml_jumptable_h64,0,20200.0,17753.3,3.3,100,,
1,1,0,warm,ml_hotfirst_h64,0,21134.2,18607.1,3.7,100,,
1,1,0,warm,ml_ifchain_h64,0,21388.8,18837.9,5.0,100,,
1,1,0,cold,ml_tree_h64,0,136940.4,134347.9,3.7,100,,
1,1,0,cold,ml_jumptable_h64,0,20301.2,17752.1,5.8,100,,
1,1,0,cold,ml_hotfirst_h64,0,20452.1,17893.3,2.5,100,,
1,1,0,cold,ml_ifchain_h64,0,20609.2,18015.8,2.5,100,,
1,2,0,warm,ml_tree_h64,0,135036.2,132527.9,3.7,100,,
1,2,0,warm,ml_jumptable_h64,0,20297.1,17754.2,5.8,100,,
1,2,0,warm,ml_hotfirst_h64,0,19392.9,17000.4,3.3,100,,
1,2,0,warm,ml_ifchain_h64,0,20246.7,17818.7,3.7,100,,
1,2,0,cold,ml_tree_h64,0,131808.8,129307.9,7.5,100,,
1,2,0,cold,ml_jumptable_h64,0,18207.9,15921.2,3.7,100,,
1,2,0,cold,ml_hotfirst_h64,0,18780.0,16414.6,4.2,100,,
1,2,0,cold,ml_ifchain_h64,0,18289.6,16003.3,2.9,100,,
1,3,0,warm,ml_tree_h64,0,124000.0,121739.6,5.0,100,,
1,3,0,warm,ml_hotfirst_h64,0,18730.8,16486.2,4.6,100,,
1,3,0,warm,ml_ifchain_h64,0,18316.7,16128.7,3.3,100,,
1,3,0,warm,ml_jumptable_h64,0,18130.0,15957.1,2.1,100,,
1,3,0,cold,ml_tree_h64,0,123961.2,121665.0,1.7,100,,
1,3,0,cold,ml_hotfirst_h64,0,18259.2,15951.7,2.5,100,,
1,3,0,cold,ml_ifchain_h64,0,18191.2,15912.9,3.3,100,,
1,3,0,cold,ml_jumptable_h64,0,18202.1,15910.4,1.7,100,,
1,4,0,warm,ml_tree_h64,0,126001.7,123744.2,7.5,100,,
1,4,0,warm,ml_ifchain_h64,0,17868.3,15747.9,4.6,100,,
1,4,0,warm,ml_hotfirst_h64,0,17780.8,15651.2,3.3,100,,
1,4,0,warm,ml_jumptable_h64,0,20173.3,17750.0,3.7,100,,
1,4,0,cold,ml_tree_h64,0,132625.0,129896.7,6.7,100,,
1,4,0,cold,ml_ifchain_h64,0,21639.6,18884.6,2.5,100,,
1,4,0,cold,ml_hotfirst_h64,0,20432.5,17866.2,4.2,100,,
1,4,0,cold,ml_jumptable_h64,0,20780.0,18159.6,2.9,100,,
1,5,0,warm,ml_tree_h64,0,135417.1,132886.7,5.0,100,,
1,5,0,warm,ml_ifchain_h64,0,20178.8,17753.7,2.9,100,,
1,5,0,warm,ml_hotfirst_h64,0,21348.8,18783.3,2.9,100,,
1,5,0,warm,ml_jumptable_h64,0,21581.7,19043.3,1.7,100,,
1,5,0,cold,ml_tree_h64,0,138384.2,135374.6,5.0,100,,
1,5,0,cold,ml_ifchain_h64,0,19859.6,17356.7,3.7,100,,
1,5,0,cold,ml_hotfirst_h64,0,20392.5,17795.0,2.1,100,,
1,5,0,cold,ml_jumptable_h64,0,20974.2,18332.9,4.2,100,,
1,6,0,warm,ml_ifchain_h64,0,20190.8,17777.9,4.2,100,,
1,6,0,warm,ml_jumptable_h64,0,21145.0,18603.3,2.9,100,,
1,6,0,warm,ml_hotfirst_h64,0,20903.8,18371.2,2.5,100,,
1,6,0,warm,ml_tree_h64,0,134194.6,131458.8,6.7,100,,
1,6,0,cold,ml_ifchain_h64,0,20303.8,17750.4,4.6,100,,
1,6,0,cold,ml_jumptable_h64,0,21622.1,18889.2,1.7,100,,
1,6,0,cold,ml_hotfirst_h64,0,21861.2,19132.5,5.0,100,,
1,6,0,cold,ml_tree_h64,0,136108.3,133331.2,4.6,100,,
