run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag
1,1,0,warm,ml_jumptable_u8,0,66053.8,63705.0,2.9,100,,
1,1,0,warm,ml_ifchain_u8,0,65443.8,63246.7,1.7,100,,
1,1,0,warm,ml_tree_u8,0,206967.1,204700.8,2.1,100,,
1,1,0,cold,ml_jumptable_u8,0,66153.8,63597.5,4.2,100,,
1,1,0,cold,ml_ifchain_u8,0,67667.5,65091.2,1.7,100,,
1,1,0,cold,ml_tree_u8,0,209533.8,206650.0,14.2,100,,
1,2,0,warm,ml_tree_u8,0,218767.1,216222.5,6.7,100,,
1,2,0,warm,ml_jumptable_u8,0,72367.5,69947.9,2.5,100,,
1,2,0,warm,ml_ifchain_u8,0,68149.6,65892.1,2.5,100,,
1,2,0,cold,ml_tree_u8,0,211612.5,208998.3,11.7,100,,
1,2,0,cold,ml_jumptable_u8,0,67147.5,64570.0,2.9,100,,
1,2,0,cold,ml_ifchain_u8,0,66397.1,63815.4,2.1,100,,
1,3,0,warm,ml_tree_u8,0,207922.5,205739.2,2.5,100,,
1,3,0,warm,ml_ifchain_u8,0,65880.4,63697.1,2.5,100,,
1,3,0,warm,ml_jumptable_u8,0,68175.4,65810.8,2.1,100,,
1,3,0,cold,ml_tree_u8,0,208837.5,206182.5,4.2,100,,
1,3,0,cold,ml_ifchain_u8,0,66793.8,64204.6,3.3,100,,
1,3,0,cold,ml_jumptable_u8,0,67733.3,64903.8,5.0,100,,
1,4,0,warm,ml_jumptable_u8,0,66045.0,63757.1,1.2,100,,
1,4,0,warm,ml_ifchain_u8,0,66490.0,64257.1,1.2,100,,
1,4,0,warm,ml_tree_u8,0,208504.6,206150.8,2.9,100,,
1,4,0,cold,ml_jumptable_u8,0,65257.9,62751.7,2.9,100,,
1,4,0,cold,ml_ifchain_u8,0,65183.3,62642.5,2.5,100,,
1,4,0,cold,ml_tree_u8,0,207723.7,204756.7,1.7,100,,
1,5,0,warm,ml_tree_u8,0,206346.7,203920.4,7.1,100,,
1,5,0,warm,ml_jumptable_u8,0,73959.2,71451.7,4.6,100,,
1,5,0,warm,ml_ifchain_u8,0,75231.2,72660.0,2.1,100,,
1,5,0,cold,ml_tree_u8,0,222096.7,218930.0,3.7,100,,
1,5,0,cold,ml_jumptable_u8,0,72787.9,69708.8,3.3,100,,
1,5,0,cold,ml_ifchain_u8,0,68708.8,65977.9,2.5,100,,
1,6,0,warm,ml_tree_u8,0,208500.0,206196.7,2.9,100,,
1,6,0,warm,ml_jumptable_u8,0,65930.4,63612.5,2.9,100,,
1,6,0,warm,ml_ifchain_u8,0,65961.7,63600.0,2.5,100,,
1,6,0,cold,ml_tree_u8,0,208039.6,205019.2,4.6,100,,
1,6,0,cold,ml_jumptable_u8,0,65282.5,62762.1,5.0,100,,
1,6,0,cold,ml_ifchain_u8,0,67237.5,64535.4,3.7,100,,
