run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag
1,1,0,warm,mw_chain_rev_h_mw3_skew,0,271680.4,269197.9,5.0,100,,
1,1,0,warm,mw_bintree_h_mw3_skew,0,269815.4,267155.4,3.3,100,,
1,1,0,warm,mw_jumptable_h_mw3_skew,0,271405.4,268741.2,4.2,100,,
1,1,0,warm,mw_chain_h_mw3_skew,0,282335.4,279605.4,5.4,100,,
1,1,0,cold,mw_chain_rev_h_mw3_skew,0,289812.1,282040.0,5.0,100,,
1,1,0,cold,mw_bintree_h_mw3_skew,0,289879.6,281905.4,3.3,100,,
1,1,0,cold,mw_jumptable_h_mw3_skew,0,289939.6,282154.2,4.6,100,,
1,1,0,cold,mw_chain_h_mw3_skew,0,291315.8,283437.5,8.8,100,,
1,2,0,warm,mw_chain_rev_h_mw3_skew,0,284228.8,281382.9,8.3,100,,
1,2,0,warm,mw_jumptable_h_mw3_skew,0,281037.9,278291.2,4.2,100,,
1,2,0,warm,mw_chain_h_mw3_skew,0,273133.8,270679.6,2.9,100,,
1,2,0,warm,mw_bintree_h_mw3_skew,0,272826.7,270627.5,4.2,100,,
1,2,0,cold,mw_chain_rev_h_mw3_skew,0,279360.0,272197.5,6.2,100,,
1,2,0,cold,mw_jumptable_h_mw3_skew,0,287601.2,280189.2,7.5,100,,
1,2,0,cold,mw_chain_h_mw3_skew,0,281216.2,273890.8,3.3,100,,
1,2,0,cold,mw_bintree_h_mw3_skew,0,283603.8,276310.8,7.5,100,,
1,3,0,warm,mw_bintree_h_mw3_skew,0,277937.1,275607.9,7.5,100,,
1,3,0,warm,mw_chain_rev_h_mw3_skew,0,275892.5,273587.9,2.9,100,,
1,3,0,warm,mw_jumptable_h_mw3_skew,0,276374.6,274108.3,3.7,100,,
1,3,0,warm,mw_chain_h_mw3_skew,0,270480.0,267947.5,3.3,100,,
1,3,0,cold,mw_bintree_h_mw3_skew,0,291134.6,283534.6,5.4,100,,
1,3,0,cold,mw_chain_rev_h_mw3_skew,0,279416.2,271910.8,7.1,100,,
1,3,0,cold,mw_jumptable_h_mw3_skew,0,278890.8,271811.7,2.5,100,,
1,3,0,cold,mw_chain_h_mw3_skew,0,277090.0,269888.3,7.1,100,,
1,4,0,warm,mw_bintree_h_mw3_skew,0,271478.8,268823.8,5.0,100,,
1,4,0,warm,mw_chain_rev_h_mw3_skew,0,279666.7,277047.1,4.2,100,,
1,4,0,warm,mw_jumptable_h_mw3_skew,0,270516.2,267897.5,5.0,100,,
1,4,0,warm,mw_chain_h_mw3_skew,0,270084.2,267645.4,2.1,100,,
1,4,0,cold,mw_bintree_h_mw3_skew,0,276689.2,269075.0,2.9,100,,
1,4,0,cold,mw_chain_rev_h_mw3_skew,0,275277.5,267860.4,2.5,100,,
1,4,0,cold,mw_jumptable_h_mw3_skew,0,274760.0,267419.6,3.7,100,,
1,4,0,cold,mw_chain_h_mw3_skew,0,292455.0,284770.0,3.7,100,,
1,5,0,warm,mw_jumptable_h_mw3_skew,0,284330.8,281515.4,6.2,100,,
1,5,0,warm,mw_bintree_h_mw3_skew,0,276399.2,273758.8,7.5,100,,
1,5,0,warm,mw_chain_h_mw3_skew,0,275462.5,272646.2,5.8,100,,
1,5,0,warm,mw_chain_rev_h_mw3_skew,0,272732.1,270459.2,1.7,100,,
1,5,0,cold,mw_jumptable_h_mw3_skew,0,283583.8,276406.7,5.0,100,,
1,5,0,cold,mw_bintree_h_mw3_skew,0,280724.6,273425.8,1.2,100,,
1,5,0,cold,mw_chain_h_mw3_skew,0,281007.9,273837.1,3.7,100,,
1,5,0,cold,mw_chain_rev_h_mw3_skew,0,281456.7,274225.0,2.9,100,,
1,6,0,warm,mw_chain_rev_h_mw3_skew,0,276151.2,273785.4,3.3,100,,
1,6,0,warm,mw_jumptable_h_mw3_skew,0,269964.6,267341.2,3.3,100,,
1,6,0,warm,mw_chain_h_mw3_skew,0,272129.6,269477.5,5.0,100,,
1,6,0,warm,mw_bintree_h_mw3_skew,0,269428.3,266967.5,2.9,100,,
1,6,0,cold,mw_chain_rev_h_mw3_skew,0,279930.0,272671.7,5.0,100,,
1,6,0,cold,mw_jumptable_h_mw3_skew,0,276523.8,269059.6,8.3,100,,
1,6,0,cold,mw_chain_h_mw3_skew,0,291377.9,283627.9,12.9,100,,
1,6,0,cold,mw_bintree_h_mw3_skew,0,290560.4,282610.8,10.0,100,,
