run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag
1,1,0,warm,mw_predicate_all_c_mw3_uni,0,14449.2,12287.9,2.1,100,,
1,1,0,warm,mw_jumptable_c_mw3_uni,0,10122.1,7694.2,2.1,100,,
1,1,0,warm,mw_chain_c_mw3_uni,0,10825.0,8217.9,5.4,100,,
1,1,0,warm,mw_bintree_c_mw3_uni,0,12392.1,9532.9,12.1,100,,
1,1,0,warm,mw_chain_rev_c_mw3_uni,0,10040.4,7598.8,5.0,100,,
1,1,0,cold,mw_predicate_all_c_mw3_uni,0,16343.7,12782.9,3.3,100,,
1,1,0,cold,mw_jumptable_c_mw3_uni,0,10437.1,6984.2,3.3,100,,
1,1,0,cold,mw_chain_c_mw3_uni,0,11150.8,7402.1,4.6,100,,
1,1,0,cold,mw_bintree_c_mw3_uni,0,10432.9,6982.1,2.9,100,,
1,1,0,cold,mw_chain_rev_c_mw3_uni,0,10231.7,6785.4,1.7,100,,
1,2,0,warm,mw_bintree_c_mw3_uni,0,9080.8,6901.2,2.9,100,,
1,2,0,warm,mw_chain_rev_c_mw3_uni,0,8946.2,6771.2,4.6,100,,
1,2,0,warm,mw_jumptable_c_mw3_uni,0,9141.7,6947.1,3.3,100,,
1,2,0,warm,mw_chain_c_mw3_uni,0,9085.0,6915.8,2.1,100,,
1,2,0,warm,mw_predicate_all_c_mw3_uni,0,15030.8,12782.5,2.9,100,,
1,2,0,cold,mw_bintree_c_mw3_uni,0,10440.8,6944.2,2.9,100,,
1,2,0,cold,mw_chain_rev_c_mw3_uni,0,10343.8,6896.2,4.2,100,,
1,2,0,cold,mw_jumptable_c_mw3_uni,0,10372.5,6909.2,2.5,100,,
1,2,0,cold,mw_chain_c_mw3_uni,0,11169.2,7266.7,5.8,100,,
1,2,0,cold,mw_predicate_all_c_mw3_uni,0,15805.4,12353.3,4.6,100,,
1,3,0,warm,mw_predicate_all_c_mw3_uni,0,14525.0,12352.5,3.3,100,,
1,3,0,warm,mw_chain_rev_c_mw3_uni,0,9260.8,7009.6,3.7,100,,
1,3,0,warm,mw_jumptable_c_mw3_uni,0,10466.2,7955.0,4.2,100,,
1,3,0,warm,mw_chain_c_mw3_uni,0,10777.9,8188.3,2.5,100,,
1,3,0,warm,mw_bintree_c_mw3_uni,0,10796.2,8186.7,1.7,100,,
1,3,0,cold,mw_predicate_all_c_mw3_uni,0,19073.7,14970.4,4.2,100,,
1,3,0,cold,mw_chain_rev_c_mw3_uni,0,12209.2,8097.1,2.5,100,,
1,3,0,cold,mw_jumptable_c_mw3_uni,0,12334.6,8219.2,2.1,100,,
1,3,0,cold,mw_chain_c_mw3_uni,0,12571.2,8312.9,5.0,100,,
1,3,0,cold,mw_bintree_c_mw3_uni,0,12321.2,8218.8,3.3,100,,
1,4,0,warm,mw_jumptable_c_mw3_uni,0,10793.3,8195.4,2.9,100,,
1,4,0,warm,mw_bintree_c_mw3_uni,0,10785.8,8202.1,5.4,100,,
1,4,0,warm,mw_chain_c_mw3_uni,0,10876.2,8269.6,3.7,100,,
1,4,0,warm,mw_chain_rev_c_mw3_uni,0,10762.1,8133.3,6.2,100,,
1,4,0,warm,mw_predicate_all_c_mw3_uni,0,18047.1,15217.9,8.3,100,,
1,4,0,cold,mw_jumptable_c_mw3_uni,0,12622.1,8453.7,5.0,100,,
1,4,0,cold,mw_bintree_c_mw3_uni,0,12425.4,8311.2,2.9,100,,
1,4,0,cold,mw_chain_c_mw3_uni,0,13375.8,8914.6,4.2,100,,
1,4,0,cold,mw_chain_rev_c_mw3_uni,0,12576.7,8342.5,5.0,100,,
1,4,0,cold,mw_predicate_all_c_mw3_uni,0,19590.4,15322.5,2.5,100,,
1,5,0,warm,mw_chain_rev_c_mw3_uni,0,10709.6,8119.2,5.0,100,,
1,5,0,warm,mw_jumptable_c_mw3_uni,0,10795.0,8192.9,2.9,100,,
1,5,0,warm,mw_chain_c_mw3_uni,0,11110.0,8450.0,3.3,100,,
