run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag
1,1,0,warm,mw_chain_rev_h_mw3_uni,0,76078.8,73778.3,3.7,100,,
1,1,0,warm,mw_bintree_h_mw3_uni,0,74168.3,71914.2,5.0,100,,
1,1,0,warm,mw_jumptable_h_mw3_uni,0,77063.3,74598.3,2.9,100,,
1,1,0,warm,mw_chain_h_mw3_uni,0,74430.0,71992.5,2.9,100,,
1,1,0,cold,mw_chain_rev_h_mw3_uni,0,74665.0,71081.7,2.5,100,,
1,1,0,cold,mw_bintree_h_mw3_uni,0,74102.1,70600.8,3.7,100,,
1,1,0,cold,mw_jumptable_h_mw3_uni,0,74237.5,70802.1,4.2,100,,
1,1,0,cold,mw_chain_h_mw3_uni,0,74640.4,71183.3,5.0,100,,
1,2,0,warm,mw_chain_rev_h_mw3_uni,0,73272.9,71121.7,3.3,100,,
1,2,0,warm,mw_jumptable_h_mw3_uni,0,73661.7,71471.7,0.4,100,,
1,2,0,warm,mw_chain_h_mw3_uni,0,73163.3,71000.8,2.5,100,,
1,2,0,warm,mw_bintree_h_mw3_uni,0,74932.5,72581.2,1.7,100,,
1,2,0,cold,mw_chain_rev_h_mw3_uni,0,84704.2,80789.2,5.4,100,,
1,2,0,cold,mw_jumptable_h_mw3_uni,0,86031.2,81939.6,3.7,100,,
1,2,0,cold,mw_chain_h_mw3_uni,0,87302.1,83164.2,4.6,100,,
1,2,0,cold,mw_bintree_h_mw3_uni,0,87167.9,83043.3,3.7,100,,
1,3,0,warm,mw_bintree_h_mw3_uni,0,85010.8,82509.6,5.8,100,,
1,3,0,warm,mw_chain_rev_h_mw3_uni,0,86021.7,83185.4,3.3,100,,
1,3,0,warm,mw_jumptable_h_mw3_uni,0,84738.8,82111.7,2.1,100,,
1,3,0,warm,mw_chain_h_mw3_uni,0,84280.0,81740.8,4.2,100,,
1,3,0,cold,mw_bintree_h_mw3_uni,0,85940.4,81901.7,5.8,100,,
1,3,0,cold,mw_chain_rev_h_mw3_uni,0,85376.7,81453.8,2.5,100,,
1,3,0,cold,mw_jumptable_h_mw3_uni,0,84619.2,80680.0,8.8,100,,
1,3,0,cold,mw_chain_h_mw3_uni,0,86615.0,82467.1,2.1,100,,
1,4,0,warm,mw_bintree_h_mw3_uni,0,84467.1,81778.3,7.1,100,,
1,4,0,warm,mw_chain_rev_h_mw3_uni,0,85463.3,82846.7,2.5,100,,
1,4,0,warm,mw_jumptable_h_mw3_uni,0,86659.2,83876.7,6.7,100,,
1,4,0,warm,mw_chain_h_mw3_uni,0,84206.7,81652.1,3.3,100,,
1,4,0,cold,mw_bintree_h_mw3_uni,0,83318.8,79499.6,3.7,100,,
1,4,0,cold,mw_chain_rev_h_mw3_uni,0,75681.2,72230.0,3.3,100,,
1,4,0,cold,mw_jumptable_h_mw3_uni,0,76111.2,72607.5,2.5,100,,
1,4,0,cold,mw_chain_h_mw3_uni,0,76966.2,73386.2,3.7,100,,
1,5,0,warm,mw_jumptable_h_mw3_uni,0,74212.9,71925.8,2.5,100,,
1,5,0,warm,mw_bintree_h_mw3_uni,0,74127.1,71875.0,2.1,100,,
1,5,0,warm,mw_chain_h_mw3_uni,0,75080.8,72825.4,7.1,100,,
1,5,0,warm,mw_chain_rev_h_mw3_uni,0,75423.3,73194.2,4.6,100,,
1,5,0,cold,mw_jumptable_h_mw3_uni,0,75231.7,71792.1,3.7,100,,
1,5,0,cold,mw_bintree_h_mw3_uni,0,76188.8,72632.1,2.1,100,,
1,5,0,cold,mw_chain_h_mw3_uni,0,75577.1,72049.6,2.5,100,,
1,5,0,cold,mw_chain_rev_h_mw3_uni,0,76040.8,72437.1,5.4,100,,
1,6,0,warm,mw_chain_rev_h_mw3_uni,0,74454.2,72234.2,1.7,100,,
1,6,0,warm,mw_jumptable_h_mw3_uni,0,74206.2,71938.8,2.5,100,,
1,6,0,warm,mw_chain_h_mw3_uni,0,74936.2,72725.4,3.7,100,,
1,6,0,warm,mw_bintree_h_mw3_uni,0,74544.2,72302.5,2.5,100,,
1,6,0,cold,mw_chain_rev_h_mw3_uni,0,74531.7,71079.2,2.9,100,,
1,6,0,cold,mw_jumptable_h_mw3_uni,0,75231.7,71636.7,4.2,100,,
1,6,0,cold,mw_chain_h_mw3_uni,0,74451.7,70845.8,3.3,100,,
1,6,0,cold,mw_bintree_h_mw3_uni,0,74220.8,70669.6,2.1,100,,
