run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag
1,1,0,warm,mw_predicate_all_c_mw8_skew,0,30939.2,28795.4,2.9,100,,
1,1,0,warm,mw_jumptable_c_mw8_skew,0,9278.8,6848.3,3.3,100,,
1,1,0,warm,mw_chain_c_mw8_skew,0,10930.4,8491.7,1.7,100,,
1,1,0,warm,mw_bintree_c_mw8_skew,0,14638.3,11804.6,12.9,100,,
1,1,0,warm,mw_chain_rev_c_mw8_skew,0,10624.2,8019.2,2.1,100,,
1,1,0,cold,mw_predicate_all_c_mw8_skew,0,37257.9,33266.7,3.7,100,,
1,1,0,cold,mw_jumptable_c_mw8_skew,0,10302.5,6516.7,2.9,100,,
1,1,0,cold,mw_chain_c_mw8_skew,0,16495.4,12658.3,2.5,100,,
1,1,0,cold,mw_bintree_c_mw8_skew,0,13691.2,9672.5,5.0,100,,
1,1,0,cold,mw_chain_rev_c_mw8_skew,0,12124.6,8015.8,3.7,100,,
1,2,0,warm,mw_bintree_c_mw8_skew,0,12460.4,9875.4,4.2,100,,
1,2,0,warm,mw_chain_rev_c_mw8_skew,0,10609.2,8019.6,2.9,100,,
1,2,0,warm,mw_jumptable_c_mw8_skew,0,9612.5,7020.4,5.0,100,,
1,2,0,warm,mw_chain_c_mw8_skew,0,12604.2,9777.1,3.7,100,,
1,2,0,warm,mw_predicate_all_c_mw8_skew,0,38008.3,35382.5,4.2,100,,
1,2,0,cold,mw_bintree_c_mw8_skew,0,14006.7,9898.3,4.2,100,,
1,2,0,cold,mw_chain_rev_c_mw8_skew,0,12204.2,8063.8,2.9,100,,
1,2,0,cold,mw_jumptable_c_mw8_skew,0,11172.1,7071.7,4.2,100,,
1,2,0,cold,mw_chain_c_mw8_skew,0,17683.3,13563.3,5.0,100,,
1,2,0,cold,mw_predicate_all_c_mw8_skew,0,38952.5,34784.6,5.0,100,,
1,3,0,warm,mw_predicate_all_c_mw8_skew,0,35292.9,32812.5,2.5,100,,
1,3,0,warm,mw_chain_rev_c_mw8_skew,0,10604.2,8017.1,4.2,100,,
1,3,0,warm,mw_jumptable_c_mw8_skew,0,9608.8,7022.9,5.0,100,,
1,3,0,warm,mw_chain_c_mw8_skew,0,12692.9,9880.0,1.2,100,,
1,3,0,warm,mw_bintree_c_mw8_skew,0,13518.7,10711.2,4.2,100,,
1,3,0,cold,mw_predicate_all_c_mw8_skew,0,39896.7,35646.7,3.3,100,,
1,3,0,cold,mw_chain_rev_c_mw8_skew,0,12115.8,8016.2,5.4,100,,
1,3,0,cold,mw_jumptable_c_mw8_skew,0,11212.5,7071.2,3.7,100,,
1,3,0,cold,mw_chain_c_mw8_skew,0,17764.6,13650.4,5.0,100,,
1,3,0,cold,mw_bintree_c_mw8_skew,0,13997.5,9892.5,3.7,100,,
1,4,0,warm,mw_jumptable_c_mw8_skew,0,9615.8,7020.8,3.3,100,,
1,4,0,warm,mw_bintree_c_mw8_skew,0,12452.9,9859.2,5.4,100,,
1,4,0,warm,mw_chain_c_mw8_skew,0,11760.4,9165.0,4.2,100,,
1,4,0,warm,mw_chain_rev_c_mw8_skew,0,11255.0,8497.9,3.7,100,,
1,4,0,warm,mw_predicate_all_c_mw8_skew,0,35152.9,32713.3,2.1,100,,
1,4,0,cold,mw_jumptable_c_mw8_skew,0,9743.3,6140.4,3.7,100,,
1,4,0,cold,mw_bintree_c_mw8_skew,0,11736.7,8287.5,2.1,100,,
1,4,0,cold,mw_chain_c_mw8_skew,0,14944.6,11438.3,4.2,100,,
1,4,0,cold,mw_chain_rev_c_mw8_skew,0,10174.2,6726.2,4.6,100,,
1,4,0,cold,mw_predicate_all_c_mw8_skew,0,32697.5,29259.2,3.3,100,,
1,5,0,warm,mw_chain_rev_c_mw8_skew,0,8908.8,6729.2,2.5,100,,
1,5,0,warm,mw_jumptable_c_mw8_skew,0,8084.6,5901.7,3.3,100,,
1,5,0,warm,mw_chain_c_mw8_skew,0,10012.9,7827.5,4.2,100,,
1,5,0,warm,mw_bintree_c_mw8_skew,0,10713.3,8485.8,3.7,100,,
1,5,0,warm,mw_predicate_all_c_mw8_skew,0,32315.8,30055.0,4.2,100,,
1,5,0,cold,mw_chain_rev_c_mw8_skew,0,10174.2,6730.8,5.0,100,,
1,5,0,cold,mw_jumptable_c_mw8_skew,0,9417.9,5931.7,1.7,100,,
1,5,0,cold,mw_chain_c_mw8_skew,0,15448.7,11849.6,2.1,100,,
1,5,0,cold,mw_bintree_c_mw8_skew,0,11928.3,8457.1,2.9,100,,
1,5,0,cold,mw_predicate_all_c_mw8_skew,0,32779.6,29300.4,3.3,100,,
1,6,0,warm,mw_bintree_c_mw8_skew,0,10512.5,8322.5,2.1,100,,
1,6,0,warm,mw_predicate_all_c_mw8_skew,0,33976.2,31633.8,3.7,100,,
1,6,0,warm,mw_jumptable_c_mw8_skew,0,8988.7,6565.0,4.2,100,,
1,6,0,warm,mw_chain_rev_c_mw8_skew,0,10617.1,8026.7,4.6,100,,
1,6,0,warm,mw_chain_c_mw8_skew,0,12285.8,9619.6,3.7,100,,
1,6,0,cold,mw_bintree_c_mw8_skew,0,13978.8,9877.5,3.3,100,,
1,6,0,cold,mw_predicate_all_c_mw8_skew,0,38792.5,34685.8,4.6,100,,
1,6,0,cold,mw_jumptable_c_mw8_skew,0,11339.2,7200.4,2.9,100,,
1,6,0,cold,mw_chain_rev_c_mw8_skew,0,12122.9,8017.5,4.2,100,,
1,6,0,cold,mw_chain_c_mw8_skew,0,18029.6,13765.0,1.2,100,,
