run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag
1,1,0,warm,project_mono_direct,0,2697.5,555.0,2.5,100,,
1,1,0,warm,project_mono_hash,0,4680.4,2246.2,3.7,100,,
1,1,0,warm,project_mono_ic,0,3475.0,898.3,4.6,100,,
1,1,0,warm,project_mono_linear,0,5520.4,2846.7,3.7,100,,
1,1,0,cold,project_mono_direct,0,3283.3,631.7,4.2,100,,
1,1,0,cold,project_mono_hash,0,4767.5,2105.0,4.2,100,,
1,1,0,cold,project_mono_ic,0,3424.2,787.9,2.1,100,,
1,1,0,cold,project_mono_linear,0,5062.1,2428.3,5.0,100,,
1,2,0,warm,project_mono_hash,0,4401.7,2110.0,3.3,100,,
1,2,0,warm,project_mono_linear,0,4849.6,2498.3,2.5,100,,
1,2,0,warm,project_mono_direct,0,2749.2,568.8,2.1,100,,
1,2,0,warm,project_mono_ic,0,2871.2,735.0,2.1,100,,
1,2,0,cold,project_mono_hash,0,4534.6,2015.0,2.1,100,,
1,2,0,cold,project_mono_linear,0,4920.0,2358.8,2.5,100,,
1,2,0,cold,project_mono_direct,0,3566.2,670.8,5.0,100,,
1,2,0,cold,project_mono_ic,0,3642.5,835.8,3.7,100,,
1,3,0,warm,project_mono_hash,0,4990.4,2400.4,1.7,100,,
1,3,0,warm,project_mono_direct,0,3036.7,627.5,4.2,100,,
1,3,0,warm,project_mono_linear,0,5377.1,2794.6,5.0,100,,
1,3,0,warm,project_mono_ic,0,3256.2,829.6,4.2,100,,
1,3,0,cold,project_mono_hash,0,5084.2,2255.8,1.2,100,,
1,3,0,cold,project_mono_direct,0,3219.2,627.1,1.7,100,,
1,3,0,cold,project_mono_linear,0,4889.6,2352.5,2.9,100,,
1,3,0,cold,project_mono_ic,0,3282.1,748.7,2.5,100,,
1,4,0,warm,project_mono_direct,0,3003.3,582.9,2.9,100,,
1,4,0,warm,project_mono_ic,0,2907.1,751.2,2.9,100,,
1,4,0,warm,project_mono_hash,0,4202.5,2018.3,2.5,100,,
1,4,0,warm,project_mono_linear,0,4807.9,2555.0,3.3,100,,
1,4,0,cold,project_mono_direct,0,3139.6,612.1,0.8,100,,
1,4,0,cold,project_mono_ic,0,3291.2,753.8,3.7,100,,
1,4,0,cold,project_mono_hash,0,4541.2,2017.1,2.1,100,,
1,4,0,cold,project_mono_linear,0,4874.6,2350.4,0.0,100,,
1,5,0,warm,project_mono_direct,0,2719.2,565.0,3.3,100,,
1,5,0,warm,project_mono_ic,0,3030.0,785.0,2.9,100,,
1,5,0,warm,project_mono_linear,0,4527.9,2351.7,3.7,100,,
1,5,0,warm,project_mono_hash,0,4228.8,2019.6,2.1,100,,
1,5,0,cold,project_mono_direct,0,3130.4,607.5,2.9,100,,
1,5,0,cold,project_mono_ic,0,3332.5,768.7,3.7,100,,
1,5,0,cold,project_mono_linear,0,5048.3,2429.6,4.2,100,,
1,5,0,cold,project_mono_hash,0,5059.6,2251.7,4.2,100,,
1,6,0,warm,project_mono_direct,0,3237.9,674.2,2.9,100,,
1,6,0,warm,project_mono_ic,0,3458.3,892.9,5.0,100,,
1,6,0,warm,project_mono_hash,0,5535.4,2602.1,2.5,100,,
1,6,0,warm,project_mono_linear,0,5414.2,2800.8,4.6,100,,
1,6,0,cold,project_mono_direct,0,3699.6,720.4,2.9,100,,
1,6,0,cold,project_mono_ic,0,3912.9,896.7,1.7,100,,
1,6,0,cold,project_mono_hash,0,5427.1,2410.0,2.9,100,,
1,6,0,cold,project_mono_linear,0,6302.1,3039.6,4.6,100,,
