run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag
1,1,0,warm,project_poly_linear,0,2436.7,177.5,4.2,100,,
1,1,0,warm,project_poly_hash,0,2593.8,167.1,2.9,100,,
1,1,0,warm,project_poly_ic,0,2799.6,194.2,2.1,100,,
1,1,0,cold,project_poly_linear,0,3370.8,625.8,2.9,100,,
1,1,0,cold,project_poly_hash,0,3237.1,605.4,2.5,100,,
1,1,0,cold,project_poly_ic,0,3264.2,622.9,4.6,100,,
1,2,0,warm,project_poly_ic,0,2753.8,195.8,3.3,100,,
1,2,0,warm,project_poly_linear,0,2777.5,205.0,0.8,100,,
1,2,0,warm,project_poly_hash,0,2759.2,180.8,3.3,100,,
1,2,0,cold,project_poly_ic,0,3300.0,630.4,3.7,100,,
1,2,0,cold,project_poly_linear,0,3268.8,624.6,4.2,100,,
1,2,0,cold,project_poly_hash,0,3380.4,631.2,2.5,100,,
1,3,0,warm,project_poly_linear,0,2776.2,208.3,4.2,100,,
1,3,0,warm,project_poly_hash,0,2750.4,178.8,3.3,100,,
1,3,0,warm,project_poly_ic,0,2771.2,211.2,3.3,100,,
1,3,0,cold,project_poly_linear,0,3255.0,625.0,4.6,100,,
1,3,0,cold,project_poly_hash,0,3545.0,658.8,2.5,100,,
1,3,0,cold,project_poly_ic,0,3574.6,681.2,4.6,100,,
1,4,0,warm,project_poly_ic,0,3068.3,215.0,4.2,100,,
1,4,0,warm,project_poly_linear,0,3021.7,221.7,5.8,100,,
1,4,0,warm,project_poly_hash,0,2338.3,152.5,2.9,100,,
1,4,0,cold,project_poly_ic,0,3529.2,682.9,2.9,100,,
1,4,0,cold,project_poly_linear,0,3258.7,626.2,2.9,100,,
1,4,0,cold,project_poly_hash,0,3285.0,601.2,1.7,100,,
1,5,0,warm,project_poly_ic,0,3003.3,228.8,4.6,100,,
1,5,0,warm,project_poly_hash,0,2772.5,177.5,2.1,100,,
1,5,0,warm,project_poly_linear,0,2775.8,203.7,5.0,100,,
1,5,0,cold,project_poly_ic,0,3248.7,626.2,4.2,100,,
1,5,0,cold,project_poly_hash,0,3233.8,601.2,3.7,100,,
1,5,0,cold,project_poly_linear,0,3251.7,625.4,4.2,100,,
1,6,0,warm,project_poly_ic,0,3003.3,212.1,2.5,100,,
1,6,0,warm,project_poly_linear,0,3006.2,229.2,2.1,100,,
1,6,0,warm,project_poly_hash,0,2986.7,199.2,1.2,100,,
1,6,0,cold,project_poly_ic,0,3537.1,682.9,2.1,100,,
1,6,0,cold,project_poly_linear,0,3534.6,675.4,2.9,100,,
1,6,0,cold,project_poly_hash,0,3222.5,600.8,4.2,100,,
