run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag
1,1,0,warm,r_fanin_whole,0,4765.4,2527.1,59.6,100,,
1,1,0,warm,r_fanin_semi,0,5429.2,3190.4,162.1,100,,
1,1,0,cold,r_fanin_whole,0,5009.6,2533.8,59.6,100,,
1,1,0,cold,r_fanin_semi,0,5465.0,3154.6,162.1,100,,
1,2,0,warm,r_fanin_semi,0,5466.2,3191.2,165.0,100,,
1,2,0,warm,r_fanin_whole,0,4972.5,2608.3,45.4,100,,
1,2,0,cold,r_fanin_semi,0,5455.8,3157.1,160.8,100,,
1,2,0,cold,r_fanin_whole,0,4784.6,2490.0,55.8,100,,
1,3,0,warm,r_fanin_semi,0,5451.2,3222.1,138.8,100,,
1,3,0,warm,r_fanin_whole,0,4877.9,2581.7,47.9,100,,
1,3,0,cold,r_fanin_semi,0,5514.6,3186.7,141.2,100,,
1,3,0,cold,r_fanin_whole,0,4889.6,2587.9,47.1,100,,
1,4,0,warm,r_fanin_whole,0,4840.0,2591.7,42.1,100,,
1,4,0,warm,r_fanin_semi,0,5455.4,3196.7,136.2,100,,
1,4,0,cold,r_fanin_whole,0,5129.2,2597.9,50.0,100,,
1,4,0,cold,r_fanin_semi,0,5440.0,3150.8,133.3,100,,
1,5,0,warm,r_fanin_whole,0,4707.1,2498.3,42.1,100,,
1,5,0,warm,r_fanin_semi,0,5485.0,3226.7,153.3,100,,
1,5,0,cold,r_fanin_whole,0,4873.3,2583.7,53.3,100,,
1,5,0,cold,r_fanin_semi,0,5444.2,3153.7,160.8,100,,
1,6,0,warm,r_fanin_whole,0,4706.7,2504.6,40.8,100,,
1,6,0,warm,r_fanin_semi,0,5270.4,3110.0,154.2,100,,
1,6,0,cold,r_fanin_whole,0,4846.7,2541.7,45.4,100,,
1,6,0,cold,r_fanin_semi,0,5232.1,3017.1,128.3,100,,
