run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag
1,1,0,warm,r_randomdag_semi,0,1559275.8,1556896.7,985.8,100,,
1,1,0,warm,r_randomdag_whole,0,4131119.6,4127585.4,766.7,100,,
1,1,0,cold,r_randomdag_semi,0,1628042.1,1623750.8,2157.1,100,,
1,1,0,cold,r_randomdag_whole,0,4160874.6,4156635.8,594.6,100,,
1,2,0,warm,r_randomdag_semi,0,1535127.9,1532848.8,2008.3,100,,
1,2,0,warm,r_randomdag_whole,0,4161847.5,4158458.7,691.2,100,,
1,2,0,cold,r_randomdag_semi,0,1588565.8,1584755.0,1456.7,100,,
1,2,0,cold,r_randomdag_whole,0,4124840.8,4120027.5,662.1,100,,
1,3,0,warm,r_randomdag_whole,0,4152944.6,4149956.7,622.5,100,,
1,3,0,warm,r_randomdag_semi,0,1520854.6,1518645.8,2064.6,100,,
1,3,0,cold,r_randomdag_whole,0,4181138.8,4176301.2,800.4,100,,
1,3,0,cold,r_randomdag_semi,0,1607667.1,1604006.7,2040.8,100,,
1,4,0,warm,r_randomdag_whole,0,4124543.3,4120806.2,818.3,100,,
1,4,0,warm,r_randomdag_semi,0,1617735.4,1615214.6,1057.1,100,,
1,4,0,cold,r_randomdag_whole,0,4116957.9,4111848.7,573.3,100,,
1,4,0,cold,r_randomdag_semi,0,1615310.0,1611439.6,1892.9,100,,
1,5,0,warm,r_randomdag_whole,0,4180169.2,4176855.8,836.7,100,,
1,5,0,warm,r_randomdag_semi,0,1603795.4,1601395.8,1801.2,100,,
1,5,0,cold,r_randomdag_whole,0,4184128.7,4179050.8,902.1,100,,
1,5,0,cold,r_randomdag_semi,0,1560171.2,1556408.3,2050.8,100,,
1,6,0,warm,r_randomdag_semi,0,1531131.2,1528697.5,2019.2,100,,
1,6,0,warm,r_randomdag_whole,0,4150263.8,4146797.5,652.5,100,,
1,6,0,cold,r_randomdag_semi,0,1607888.3,1603996.2,1320.4,100,,
1,6,0,cold,r_randomdag_whole,0,4115406.2,4110108.3,519.6,100,,
