run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag
1,1,0,warm,resolve_hashed,0,3290.0,505.8,3.7,100,,
1,1,0,warm,resolve_flat,0,2897.1,101.2,2.5,100,,
1,1,0,warm,resolve_linear,0,2983.8,400.8,2.1,100,,
1,1,0,cold,resolve_hashed,0,3682.1,1371.7,4.2,100,,
1,1,0,cold,resolve_flat,0,2303.8,75.8,3.7,100,,
1,1,0,cold,resolve_linear,0,3045.4,825.0,3.7,100,,
1,2,0,warm,resolve_hashed,0,2592.1,439.2,5.0,100,,
1,2,0,warm,resolve_flat,0,2236.2,81.7,2.1,100,,
1,2,0,warm,resolve_linear,0,2767.9,420.0,2.9,100,,
1,2,0,cold,resolve_hashed,0,3675.8,1361.7,4.2,100,,
1,2,0,cold,resolve_flat,0,2297.9,79.6,1.7,100,,
1,2,0,cold,resolve_linear,0,3056.7,826.7,4.6,100,,
1,3,0,warm,resolve_flat,0,2250.4,78.3,5.0,100,,
1,3,0,warm,resolve_linear,0,2538.3,356.7,3.3,100,,
1,3,0,warm,resolve_hashed,0,2550.8,391.2,3.7,100,,
1,3,0,cold,resolve_flat,0,2302.1,80.4,4.2,100,,
1,3,0,cold,resolve_linear,0,3045.0,829.2,4.2,100,,
1,3,0,cold,resolve_hashed,0,3544.2,1312.5,3.7,100,,
1,4,0,warm,resolve_linear,0,2505.0,387.9,2.5,100,,
1,4,0,warm,resolve_hashed,0,2544.2,430.8,2.5,100,,
1,4,0,warm,resolve_flat,0,2500.4,92.1,2.5,100,,
1,4,0,cold,resolve_linear,0,3630.8,993.3,3.7,100,,
1,4,0,cold,resolve_hashed,0,4256.2,1608.3,5.0,100,,
1,4,0,cold,resolve_flat,0,2730.0,98.3,1.7,100,,
1,5,0,warm,resolve_hashed,0,3025.8,460.4,4.2,100,,
1,5,0,warm,resolve_flat,0,2670.0,100.4,4.2,100,,
1,5,0,warm,resolve_linear,0,2970.4,399.6,5.0,100,,
1,5,0,cold,resolve_hashed,0,4230.0,1578.8,4.2,100,,
1,5,0,cold,resolve_flat,0,2740.4,99.2,4.2,100,,
1,5,0,cold,resolve_linear,0,3620.4,982.5,2.9,100,,
1,6,0,warm,resolve_hashed,0,3061.2,492.1,2.1,100,,
1,6,0,warm,resolve_flat,0,2825.0,96.7,5.8,100,,
1,6,0,warm,resolve_linear,0,3019.2,446.7,2.5,100,,
1,6,0,cold,resolve_hashed,0,4250.4,1590.0,3.3,100,,
1,6,0,cold,resolve_flat,0,2745.8,99.2,2.5,100,,
1,6,0,cold,resolve_linear,0,3616.2,987.1,4.2,100,,
