shape,n,edges,strategy,run,ns,rounds,checksum
layered32,4000000,11625000,whole,0,871321166.7,32,0xa87dce99a8f2f844
layered32,4000000,11625000,whole,1,857166541.7,32,0xa87dce99a8f2f844
layered32,4000000,11625000,whole,2,852721708.3,32,0xa87dce99a8f2f844
layered32,4000000,11625000,whole,3,847792041.7,32,0xa87dce99a8f2f844
layered32,4000000,11625000,whole,4,847856458.3,32,0xa87dce99a8f2f844
layered32,4000000,11625000,semi,0,707327916.7,32,0xa87dce99a8f2f844
layered32,4000000,11625000,semi,1,711914750.0,32,0xa87dce99a8f2f844
layered32,4000000,11625000,semi,2,704209916.7,32,0xa87dce99a8f2f844
layered32,4000000,11625000,semi,3,719528416.7,32,0xa87dce99a8f2f844
layered32,4000000,11625000,semi,4,722672125.0,32,0xa87dce99a8f2f844
