n,avg_out,edges,del_frac,ndels,recompute_ns,counted_ns,speedup,nodes_dropped
100000,1,99999,0.0001,9,2123041.7,416.7,5095.30,27
100000,1,99999,0.001,99,1737041.7,13333.3,130.28,765
100000,1,99999,0.01,999,1358333.3,95750.0,14.19,6183
100000,1,99999,0.1,9999,291000.0,1230500.0,0.24,78944
100000,4,399996,0.0001,39,2440041.7,500.0,4880.08,0
100000,4,399996,0.001,399,2294291.7,2125.0,1079.67,0
100000,4,399996,0.01,3999,2342625.0,24333.3,96.27,0
100000,4,399996,0.1,39999,2695958.3,226916.7,11.88,0
1000000,1,999999,0.0001,99,22298250.0,130125.0,171.36,1405
1000000,1,999999,0.001,999,28448875.0,623625.0,45.62,9087
1000000,1,999999,0.01,9999,20742125.0,3879625.0,5.35,88092
1000000,1,999999,0.1,99999,5263583.3,35275000.0,0.15,738865
1000000,4,3999996,0.0001,399,65042791.7,11583.3,5615.21,0
1000000,4,3999996,0.001,3999,66164666.7,95833.3,690.41,0
1000000,4,3999996,0.01,39999,65142333.3,955916.7,68.15,0
1000000,4,3999996,0.1,399999,68420625.0,11423000.0,5.99,0
