run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag
1,1,0,warm,tl_and,0,54777.1,52595.0,3.7,100,,
1,1,0,warm,tl_shl,0,23703.7,21445.0,3.3,100,,
1,1,0,warm,tl_concrete,0,46880.0,44545.0,2.1,100,,
1,1,0,warm,tl_add,0,57110.0,54710.8,15.4,100,,
1,1,0,warm,tl_or,0,45516.7,43275.8,2.9,100,,
1,1,0,cold,tl_and,0,61060.4,57302.5,3.7,100,,
1,1,0,cold,tl_shl,0,27216.7,23451.7,2.9,100,,
1,1,0,cold,tl_concrete,0,47736.2,44147.9,3.3,100,,
1,1,0,cold,tl_add,0,58809.6,55129.6,4.2,100,,
1,1,0,cold,tl_or,0,51313.3,47488.3,4.6,100,,
1,2,0,warm,tl_shl,0,24822.1,22552.9,3.3,100,,
1,2,0,warm,tl_and,0,61924.6,59335.4,3.7,100,,
1,2,0,warm,tl_concrete,0,50530.0,47908.7,5.0,100,,
1,2,0,warm,tl_add,0,60139.6,57608.3,6.7,100,,
1,2,0,warm,tl_or,0,49252.9,46694.2,4.2,100,,
1,2,0,cold,tl_shl,0,27911.7,24033.3,5.4,100,,
1,2,0,cold,tl_and,0,62836.7,58998.3,2.9,100,,
1,2,0,cold,tl_concrete,0,53899.6,49821.2,3.7,100,,
1,2,0,cold,tl_add,0,61760.0,57851.7,2.5,100,,
1,2,0,cold,tl_or,0,51462.5,47557.9,4.2,100,,
1,3,0,warm,tl_add,0,60594.2,58058.3,7.1,100,,
1,3,0,warm,tl_and,0,57466.2,55128.3,3.3,100,,
1,3,0,warm,tl_concrete,0,46404.6,44101.2,4.6,100,,
1,3,0,warm,tl_or,0,49771.2,47310.0,2.5,100,,
1,3,0,warm,tl_shl,0,26391.7,23919.6,3.7,100,,
1,3,0,cold,tl_add,0,62408.7,58403.8,5.8,100,,
1,3,0,cold,tl_and,0,60697.5,56958.3,2.1,100,,
1,3,0,cold,tl_concrete,0,48705.0,45038.8,5.0,100,,
1,3,0,cold,tl_or,0,49958.3,46232.5,4.2,100,,
1,3,0,cold,tl_shl,0,27427.1,23620.0,4.2,100,,
1,4,0,warm,tl_concrete,0,47186.2,44852.9,2.9,100,,
1,4,0,warm,tl_shl,0,26379.6,23930.8,3.7,100,,
1,4,0,warm,tl_or,0,50864.6,48402.9,8.8,100,,
1,4,0,warm,tl_and,0,62690.0,60072.9,7.9,100,,
1,4,0,warm,tl_add,0,56210.0,53918.3,2.9,100,,
1,4,0,cold,tl_concrete,0,47518.8,43968.8,5.8,100,,
1,4,0,cold,tl_shl,0,25778.8,22213.3,1.7,100,,
1,4,0,cold,tl_or,0,51472.1,47613.8,4.2,100,,
1,4,0,cold,tl_and,0,61627.9,57785.0,2.9,100,,
1,4,0,cold,tl_add,0,56269.6,52733.7,4.2,100,,
1,5,0,warm,tl_add,0,54328.8,52106.2,3.3,100,,
1,5,0,warm,tl_shl,0,23728.8,21537.9,3.7,100,,
1,5,0,warm,tl_or,0,45730.4,43488.8,3.3,100,,
1,5,0,warm,tl_and,0,55503.3,53064.6,2.9,100,,
1,5,0,warm,tl_concrete,0,44821.7,42608.3,2.5,100,,
1,5,0,cold,tl_add,0,55442.5,51975.8,4.2,100,,
1,5,0,cold,tl_shl,0,24799.2,21369.6,5.4,100,,
1,5,0,cold,tl_or,0,46424.6,42952.5,1.7,100,,
1,5,0,cold,tl_and,0,57273.7,53785.0,4.6,100,,
1,5,0,cold,tl_concrete,0,46193.8,42740.8,2.9,100,,
1,6,0,warm,tl_concrete,0,45978.8,43646.2,2.5,100,,
1,6,0,warm,tl_add,0,54420.8,52220.0,2.5,100,,
1,6,0,warm,tl_shl,0,23717.5,21535.0,2.5,100,,
1,6,0,warm,tl_or,0,44889.2,42702.9,3.3,100,,
1,6,0,warm,tl_and,0,55190.4,53000.8,5.4,100,,
1,6,0,cold,tl_concrete,0,47141.2,43507.1,3.3,100,,
1,6,0,cold,tl_add,0,56645.0,53073.3,7.1,100,,
1,6,0,cold,tl_shl,0,25901.2,22249.6,3.3,100,,
1,6,0,cold,tl_or,0,52235.0,48063.7,5.0,100,,
1,6,0,cold,tl_and,0,60837.9,57081.7,4.6,100,,
