run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag
1,1,0,warm,valrepr_static,0,3987.9,1913.3,48.7,100,,
1,1,0,warm,valrepr_tagged,0,4451.7,2209.6,80.8,100,,
1,1,0,warm,valrepr_nanbox,0,4431.7,2142.1,45.4,100,,
1,1,0,cold,valrepr_static,0,4749.2,2242.9,54.2,100,,
1,1,0,cold,valrepr_tagged,0,16151.7,7845.4,119.6,100,,
1,1,0,cold,valrepr_nanbox,0,4761.2,2282.9,45.8,100,,
1,2,0,warm,valrepr_static,0,4955.8,2362.1,65.0,100,,
1,2,0,warm,valrepr_tagged,0,4835.8,2395.0,107.1,100,,
1,2,0,warm,valrepr_nanbox,0,6078.3,3190.8,65.0,100,,
1,2,0,cold,valrepr_static,0,4335.0,2056.7,55.0,100,,
1,2,0,cold,valrepr_tagged,0,4615.0,2257.9,83.3,100,,
1,2,0,cold,valrepr_nanbox,0,4472.9,2158.3,43.8,100,,
1,3,0,warm,valrepr_nanbox,0,4390.4,2133.8,52.9,100,,
1,3,0,warm,valrepr_static,0,4329.6,2069.6,46.2,100,,
1,3,0,warm,valrepr_tagged,0,4599.6,2326.7,83.7,100,,
1,3,0,cold,valrepr_nanbox,0,4592.5,2162.5,56.2,100,,
1,3,0,cold,valrepr_static,0,5437.1,2591.7,67.1,100,,
1,3,0,cold,valrepr_tagged,0,4576.7,2247.5,107.9,100,,
1,4,0,warm,valrepr_static,0,5453.7,2690.0,78.7,100,,
1,4,0,warm,valrepr_tagged,0,4505.0,2244.2,79.2,100,,
1,4,0,warm,valrepr_nanbox,0,4370.8,2129.2,55.8,100,,
1,4,0,cold,valrepr_static,0,4427.1,2085.8,52.5,100,,
1,4,0,cold,valrepr_tagged,0,4605.0,2254.6,82.9,100,,
1,4,0,cold,valrepr_nanbox,0,4457.1,2124.6,52.1,100,,
1,5,0,warm,valrepr_nanbox,0,4563.3,2223.7,50.0,100,,
1,5,0,warm,valrepr_tagged,0,4465.8,2222.1,94.6,100,,
1,5,0,warm,valrepr_static,0,4314.6,2053.8,55.0,100,,
1,5,0,cold,valrepr_nanbox,0,4410.8,2124.2,47.9,100,,
1,5,0,cold,valrepr_tagged,0,4520.8,2217.1,81.7,100,,
1,5,0,cold,valrepr_static,0,4406.2,2093.3,52.5,100,,
1,6,0,warm,valrepr_static,0,4343.3,2117.9,51.7,100,,
1,6,0,warm,valrepr_tagged,0,4460.8,2208.8,95.4,100,,
1,6,0,warm,valrepr_nanbox,0,4273.3,2077.1,47.1,100,,
1,6,0,cold,valrepr_static,0,4638.3,2094.6,50.4,100,,
1,6,0,cold,valrepr_tagged,0,4699.2,2276.2,85.8,100,,
1,6,0,cold,valrepr_nanbox,0,4695.8,2296.2,50.0,100,,
