run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag
1,1,0,warm,ab_b3_prof_int,0,17292.1,14443.7,4.2,100,,
1,1,0,warm,ab_b3_table_int,0,16849.2,14037.5,5.8,100,,
1,1,0,warm,ab_b3_seq_int,0,16722.5,13952.9,5.8,100,,
1,1,0,warm,ab_b3_tree_int,0,15965.8,13327.9,3.3,100,,
1,1,0,warm,ab_b3_pred_int,0,38566.2,35912.5,3.3,100,,
1,1,0,cold,ab_b3_prof_int,0,15524.6,12890.0,4.2,100,,
1,1,0,cold,ab_b3_table_int,0,15677.9,13022.9,2.9,100,,
1,1,0,cold,ab_b3_seq_int,0,16072.5,13301.2,3.7,100,,
1,1,0,cold,ab_b3_tree_int,0,16036.7,13302.9,5.8,100,,
1,1,0,cold,ab_b3_pred_int,0,35915.4,33354.6,5.0,100,,
1,2,0,warm,ab_b3_tree_int,0,13542.1,11295.8,3.3,100,,
1,2,0,warm,ab_b3_pred_int,0,31554.6,29356.7,2.1,100,,
1,2,0,warm,ab_b3_table_int,0,13314.6,11112.9,2.1,100,,
1,2,0,warm,ab_b3_seq_int,0,13110.8,10929.6,4.6,100,,
1,2,0,warm,ab_b3_prof_int,0,13206.7,11024.6,6.2,100,,
1,2,0,cold,ab_b3_tree_int,0,13187.1,10946.2,2.9,100,,
1,2,0,cold,ab_b3_pred_int,0,31602.1,29372.1,3.7,100,,
1,2,0,cold,ab_b3_table_int,0,13280.4,11031.7,2.1,100,,
1,2,0,cold,ab_b3_seq_int,0,13237.5,11004.2,2.5,100,,
1,2,0,cold,ab_b3_prof_int,0,13357.9,11129.6,3.7,100,,
1,3,0,warm,ab_b3_prof_int,0,13580.4,11335.8,3.3,100,,
1,3,0,warm,ab_b3_pred_int,0,31926.7,29689.2,2.5,100,,
1,3,0,warm,ab_b3_table_int,0,13336.2,11007.1,4.6,100,,
1,3,0,warm,ab_b3_seq_int,0,13128.3,10923.3,2.5,100,,
1,3,0,warm,ab_b3_tree_int,0,14167.1,11810.8,3.3,100,,
1,3,0,cold,ab_b3_prof_int,0,13202.5,10979.2,5.4,100,,
1,3,0,cold,ab_b3_pred_int,0,31035.0,28811.2,4.2,100,,
1,3,0,cold,ab_b3_table_int,0,14605.0,12117.5,1.7,100,,
1,3,0,cold,ab_b3_seq_int,0,15850.0,13097.1,4.6,100,,
1,3,0,cold,ab_b3_tree_int,0,15691.7,13031.7,4.6,100,,
1,4,0,warm,ab_b3_table_int,0,15570.4,12985.0,4.2,100,,
1,4,0,warm,ab_b3_tree_int,0,15655.4,13067.5,4.6,100,,
1,4,0,warm,ab_b3_seq_int,0,15682.9,13062.5,2.1,100,,
1,4,0,warm,ab_b3_pred_int,0,37985.4,35322.5,5.0,100,,
1,4,0,warm,ab_b3_prof_int,0,15656.2,13071.2,3.7,100,,
1,4,0,cold,ab_b3_table_int,0,15608.3,12954.2,4.2,100,,
1,4,0,cold,ab_b3_tree_int,0,15677.9,13026.2,3.3,100,,
1,4,0,cold,ab_b3_seq_int,0,15697.9,13024.2,5.0,100,,
1,4,0,cold,ab_b3_pred_int,0,38146.2,35455.4,4.2,100,,
1,4,0,cold,ab_b3_prof_int,0,15290.0,12631.2,3.3,100,,
1,5,0,warm,ab_b3_pred_int,0,37605.0,34980.0,5.4,100,,
1,5,0,warm,ab_b3_table_int,0,15720.8,13129.6,4.2,100,,
1,5,0,warm,ab_b3_seq_int,0,15598.8,13002.5,2.9,100,,
1,5,0,warm,ab_b3_tree_int,0,14810.0,12389.2,3.7,100,,
1,5,0,warm,ab_b3_prof_int,0,15650.8,13052.9,5.4,100,,
1,5,0,cold,ab_b3_pred_int,0,36481.2,33908.7,4.2,100,,
1,5,0,cold,ab_b3_table_int,0,14592.9,12110.8,6.2,100,,
1,5,0,cold,ab_b3_seq_int,0,14705.8,12225.0,4.2,100,,
1,5,0,cold,ab_b3_tree_int,0,15680.4,13028.8,5.4,100,,
1,5,0,cold,ab_b3_prof_int,0,15704.6,13040.0,4.6,100,,
1,6,0,warm,ab_b3_tree_int,0,15684.6,13029.6,4.6,100,,
1,6,0,warm,ab_b3_prof_int,0,15692.9,13043.8,2.5,100,,
1,6,0,warm,ab_b3_table_int,0,15593.3,13010.4,2.5,100,,
1,6,0,warm,ab_b3_pred_int,0,37692.5,35105.4,4.6,100,,
1,6,0,warm,ab_b3_seq_int,0,15696.2,13041.2,2.9,100,,
1,6,0,cold,ab_b3_tree_int,0,15716.7,13040.0,2.5,100,,
1,6,0,cold,ab_b3_prof_int,0,15694.6,13039.2,4.6,100,,
1,6,0,cold,ab_b3_table_int,0,14612.9,12128.7,1.7,100,,
1,6,0,cold,ab_b3_pred_int,0,32747.9,30380.8,3.7,100,,
1,6,0,cold,ab_b3_seq_int,0,13180.0,10931.7,2.1,100,,
