run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag
1,1,0,warm,r_chain128_whole,0,872848.3,869862.5,374.6,100,,
1,1,0,warm,r_chain128_semi,0,297700.0,294443.3,629.2,100,,
1,1,0,cold,r_chain128_whole,0,858853.8,855387.9,612.1,100,,
1,1,0,cold,r_chain128_semi,0,327562.1,323945.4,804.2,100,,
1,2,0,warm,r_chain128_semi,0,294313.3,291816.2,425.8,100,,
1,2,0,warm,r_chain128_whole,0,895812.9,892477.9,544.6,100,,
1,2,0,cold,r_chain128_semi,0,402514.6,399233.3,560.8,100,,
1,2,0,cold,r_chain128_whole,0,875896.2,872877.9,295.0,100,,
1,3,0,warm,r_chain128_whole,0,916147.1,912827.1,774.6,100,,
1,3,0,warm,r_chain128_semi,0,301504.6,298868.8,659.2,100,,
1,3,0,cold,r_chain128_whole,0,873112.9,869903.3,490.0,100,,
1,3,0,cold,r_chain128_semi,0,274475.0,271895.8,316.2,100,,
1,4,0,warm,r_chain128_whole,0,845375.8,842665.0,296.2,100,,
1,4,0,warm,r_chain128_semi,0,277690.8,275205.4,418.3,100,,
1,4,0,cold,r_chain128_whole,0,878997.9,875827.9,377.9,100,,
1,4,0,cold,r_chain128_semi,0,270831.2,268268.8,382.1,100,,
1,5,0,warm,r_chain128_whole,0,909502.5,906064.6,519.2,100,,
1,5,0,warm,r_chain128_semi,0,307730.4,304847.1,487.9,100,,
1,5,0,cold,r_chain128_whole,0,844532.9,841497.1,269.2,100,,
1,5,0,cold,r_chain128_semi,0,278123.8,275524.2,339.2,100,,
1,6,0,warm,r_chain128_whole,0,841235.8,838435.0,290.4,100,,
1,6,0,warm,r_chain128_semi,0,277797.5,275418.3,309.6,100,,
1,6,0,cold,r_chain128_whole,0,805681.7,803045.4,86.7,100,,
1,6,0,cold,r_chain128_semi,0,267112.5,264717.9,448.7,100,,
