run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag,instructions,cycles,setup_ns,first_ns,digest
1,1,0,warm,abi_native_cross_real_null_entry,0,5093.3,2920.0,115828.7,100,,,0,0,24446.7,2949.2,13637369833365262826
1,1,0,warm,abi_native_cross_real_inproc_native,0,14002.1,11630.8,123221.2,100,,,0,0,5265.4,11692.5,12477014767509476906
1,1,0,warm,abi_native_cross_real_native_ffi_w,0,15348.3,13142.5,139206.2,100,,,0,0,24608.8,13755.4,8442674841083395758
1,1,0,cold,abi_native_cross_real_null_entry,0,5287.5,3010.8,118577.1,100,,,0,0,26341.7,3167.5,13637369833365262826
1,1,0,cold,abi_native_cross_real_inproc_native,0,14048.8,11694.6,123015.0,100,,,0,0,5214.6,11709.2,12477014767509476906
1,1,0,cold,abi_native_cross_real_native_ffi_w,0,15724.2,13350.8,142402.9,100,,,0,0,24992.5,13959.2,8442674841083395758
1,2,0,warm,abi_native_cross_real_null_entry,0,5202.9,3010.4,118106.2,100,,,0,0,25382.5,3288.8,13637369833365262826
1,2,0,warm,abi_native_cross_real_native_ffi_w,0,15760.0,13441.7,148554.2,100,,,0,0,27644.6,13812.5,8442674841083395758
1,2,0,warm,abi_native_cross_real_inproc_native,0,13561.7,11324.6,120720.0,100,,,0,0,5497.1,11399.2,12477014767509476906
1,2,0,cold,abi_native_cross_real_null_entry,0,5460.0,3065.0,119057.1,100,,,0,0,27033.7,3087.1,13637369833365262826
1,2,0,cold,abi_native_cross_real_native_ffi_w,0,16552.5,14162.9,143655.4,100,,,0,0,25668.7,14569.6,8442674841083395758
1,2,0,cold,abi_native_cross_real_inproc_native,0,14667.5,12245.8,124450.0,100,,,0,0,5734.6,12344.2,12477014767509476906
1,3,0,warm,abi_native_cross_real_native_ffi_w,0,15474.6,13254.6,145450.8,100,,,0,0,25182.1,13669.2,8442674841083395758
1,3,0,warm,abi_native_cross_real_inproc_native,0,14872.9,12245.8,123097.9,100,,,0,0,5551.2,12445.4,12477014767509476906
1,3,0,warm,abi_native_cross_real_null_entry,0,5440.8,3127.1,120279.6,100,,,0,0,28383.3,3258.7,13637369833365262826
1,3,0,cold,abi_native_cross_real_native_ffi_w,0,15620.0,13247.1,142755.0,100,,,0,0,26957.1,13865.0,8442674841083395758
1,3,0,cold,abi_native_cross_real_inproc_native,0,13541.7,11256.7,120637.9,100,,,0,0,6183.7,11307.9,12477014767509476906
1,3,0,cold,abi_native_cross_real_null_entry,0,5480.4,3120.0,117787.1,100,,,0,0,26148.8,3154.6,13637369833365262826
1,4,0,warm,abi_native_cross_real_null_entry,0,5439.6,3102.5,118646.2,100,,,0,0,26982.1,3190.8,13637369833365262826
1,4,0,warm,abi_native_cross_real_inproc_native,0,14025.0,11673.3,123415.0,100,,,0,0,5227.1,11762.9,12477014767509476906
1,4,0,warm,abi_native_cross_real_native_ffi_w,0,16044.6,13820.0,139840.0,100,,,0,0,25675.4,14443.7,8442674841083395758
1,4,0,cold,abi_native_cross_real_null_entry,0,5402.5,2986.7,118863.8,100,,,0,0,25973.3,3032.5,13637369833365262826
1,4,0,cold,abi_native_cross_real_inproc_native,0,13811.7,11408.8,121252.5,100,,,0,0,5683.7,11459.2,12477014767509476906
1,4,0,cold,abi_native_cross_real_native_ffi_w,0,16531.2,14088.7,145682.5,100,,,0,0,27297.5,14150.0,8442674841083395758
1,5,0,warm,abi_native_cross_real_null_entry,0,5145.8,2966.7,117517.1,100,,,0,0,26008.3,3030.4,13637369833365262826
1,5,0,warm,abi_native_cross_real_native_ffi_w,0,15006.2,12847.1,143020.0,100,,,0,0,24328.7,13238.3,8442674841083395758
1,5,0,warm,abi_native_cross_real_inproc_native,0,13712.9,11405.4,121415.0,100,,,0,0,5918.3,11420.0,12477014767509476906
1,5,0,cold,abi_native_cross_real_null_entry,0,5468.8,3117.9,118886.7,100,,,0,0,27206.2,3148.3,13637369833365262826
1,5,0,cold,abi_native_cross_real_native_ffi_w,0,16000.8,13563.7,146430.8,100,,,0,0,25817.1,14022.1,8442674841083395758
1,5,0,cold,abi_native_cross_real_inproc_native,0,13683.3,11398.3,121162.9,100,,,0,0,6097.9,11428.3,12477014767509476906
1,6,0,warm,abi_native_cross_real_inproc_native,0,13698.7,11342.1,121489.6,100,,,0,0,6178.3,11384.6,12477014767509476906
1,6,0,warm,abi_native_cross_real_native_ffi_w,0,15533.3,13201.2,146503.3,100,,,0,0,26690.4,13740.8,8442674841083395758
1,6,0,warm,abi_native_cross_real_null_entry,0,5176.2,2992.1,118044.6,100,,,0,0,26278.3,3054.6,13637369833365262826
1,6,0,cold,abi_native_cross_real_inproc_native,0,14323.3,11770.4,124356.2,100,,,0,0,5655.8,11753.3,12477014767509476906
1,6,0,cold,abi_native_cross_real_native_ffi_w,0,15661.2,13310.8,140288.7,100,,,0,0,25666.2,13977.5,8442674841083395758
1,6,0,cold,abi_native_cross_real_null_entry,0,5349.2,2987.9,117279.2,100,,,0,0,25108.3,3059.6,13637369833365262826
