run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag
1,1,0,warm,zig_switch,0,26574.2,24402.1,2.1,100,,
1,1,0,warm,zig_tail,0,40230.8,37864.2,1.7,100,,
1,1,0,cold,zig_switch,0,28363.3,25675.0,2.1,100,,
1,1,0,cold,zig_tail,0,41645.8,38795.8,2.5,100,,
1,2,0,warm,zig_tail,0,41392.5,38820.8,2.5,100,,
1,2,0,warm,zig_switch,0,29202.9,26851.7,2.9,100,,
1,2,0,cold,zig_tail,0,41465.8,38562.9,4.2,100,,
1,2,0,cold,zig_switch,0,30152.5,27317.9,2.1,100,,
1,3,0,warm,zig_switch,0,31262.9,28657.1,1.7,100,,
1,3,0,warm,zig_tail,0,41249.2,38774.2,2.5,100,,
1,3,0,cold,zig_switch,0,31020.0,28117.9,3.3,100,,
1,3,0,cold,zig_tail,0,41799.2,38882.9,2.9,100,,
1,4,0,warm,zig_tail,0,41035.4,38586.7,3.3,100,,
1,4,0,warm,zig_switch,0,29712.9,27287.5,3.7,100,,
1,4,0,cold,zig_tail,0,42379.2,39425.4,3.7,100,,
1,4,0,cold,zig_switch,0,30235.4,27337.5,3.3,100,,
1,5,0,warm,zig_tail,0,41930.0,39309.6,4.6,100,,
1,5,0,warm,zig_switch,0,30342.1,27852.1,3.7,100,,
1,5,0,cold,zig_tail,0,41695.4,38819.2,2.5,100,,
1,5,0,cold,zig_switch,0,30867.1,28050.8,3.3,100,,
1,6,0,warm,zig_switch,0,30440.8,27927.1,2.1,100,,
1,6,0,warm,zig_tail,0,41320.4,38866.2,0.8,100,,
1,6,0,cold,zig_switch,0,30515.8,27647.5,1.7,100,,
1,6,0,cold,zig_tail,0,41402.1,38574.2,2.9,100,,
